Table 1
,,,,,,,,,,,,,,
,Date,FTSE 100,Date,FTSE-All Share,Date,Gold ,Date,GBP Currency,Date,10 year Britain Bond,Date,3 Month British Bond,,
,3/1/2022,7330.2,3/1/2022,4079.97,3/2/2022,1455.79,3/2/2022,1.3306,2022-03-01,1.1263,2022-03-01,0.404,,
,2/28/2022,7458.25,2/28/2022,4157.77,3/1/2022,1459.68,3/1/2022,1.3325,2022-02-28,1.4079,2022-02-28,0.588,,
,2/25/2022,7489.46,2/25/2022,4167.09,2/28/2022,1422.96,2/28/2022,1.342,2022-02-25,1.4560,2022-02-25,0.545,,
,2/24/2022,7207.38,2/24/2022,4015.91,2/25/2022,1408.44,2/25/2022,1.3409,2022-02-24,1.4455,2022-02-24,0.568,,
,2/23/2022,7498.18,2/23/2022,4169.64,2/24/2022,1423.53,2/24/2022,1.338,2022-02-23,1.4778,2022-02-23,0.579,,
,2/22/2022,7494.21,2/22/2022,4172.35,2/23/2022,1409.42,2/23/2022,1.3544,2022-02-22,1.4697,2022-02-22,0.592,,
,2/21/2022,7484.33,2/21/2022,4172.09,2/22/2022,1397.54,2/22/2022,1.3585,2022-02-21,1.4067,2022-02-21,0.596,,
,2/18/2022,7513.62,2/18/2022,4195.45,2/21/2022,1401.48,2/21/2022,1.3602,2022-02-18,1.3766,2022-02-18,0.562,,
,2/17/2022,7537.37,2/17/2022,4212.87,2/18/2022,1396.72,2/18/2022,1.3589,2022-02-17,1.4617,2022-02-15,0.563,,
,2/16/2022,7603.78,2/16/2022,4251.96,2/17/2022,1394.53,2/17/2022,1.3616,2022-02-16,1.5231,2022-02-14,0.595,,
,2/15/2022,7608.92,2/15/2022,4254.78,2/16/2022,1376.39,2/16/2022,1.3586,2022-02-15,1.5805,2022-02-11,0.502,,
,2/14/2022,7531.59,2/14/2022,4211.74,2/15/2022,1368.84,2/15/2022,1.3538,2022-02-14,1.5876,2022-02-09,0.471,,
,2/11/2022,7661.02,2/11/2022,4286.38,2/14/2022,1382.85,2/14/2022,1.3528,2022-02-11,1.5431,2022-02-08,0.467,,
,2/10/2022,7672.4,2/10/2022,4296.96,2/11/2022,1370.65,2/11/2022,1.3564,2022-02-10,1.5229,2022-02-07,0.465,,
,2/9/2022,7643.42,2/9/2022,4282.76,2/10/2022,1347.23,2/10/2022,1.3557,2022-02-09,1.4283,2022-02-04,0.470,,
,2/8/2022,7567.07,2/8/2022,4233.62,2/9/2022,1354.61,2/9/2022,1.3535,2022-02-08,1.4882,2022-02-03,0.421,,
,2/7/2022,7573.47,2/7/2022,4236.88,2/8/2022,1348.1,2/8/2022,1.3543,2022-02-07,1.4068,2022-02-02,0.390,,
,2/4/2022,7516.4,2/4/2022,4208.61,2/7/2022,1344.87,2/7/2022,1.3536,2022-02-04,1.4094,2022-02-01,0.278,,
,2/3/2022,7528.84,2/3/2022,4222.74,2/4/2022,1336.46,2/4/2022,1.3531,2022-02-03,1.3661,2022-01-31,0.349,,
,2/2/2022,7583,2/2/2022,4257.23,2/3/2022,1327.27,2/3/2022,1.3598,2022-02-02,1.2553,2022-01-28,0.261,,
,2/1/2022,7535.78,2/1/2022,4232.48,2/2/2022,1331.03,2/2/2022,1.3577,2022-02-01,1.2983,2022-01-27,0.236,,
,1/31/2022,7464.37,1/31/2022,4191.81,2/1/2022,1331.89,2/1/2022,1.3522,2022-01-31,1.3009,2022-01-26,0.228,,
,1/28/2022,7466.07,1/28/2022,4182.58,1/31/2022,1336.49,1/31/2022,1.3447,2022-01-28,1.2423,2022-01-25,0.230,,
,1/27/2022,7554.31,1/27/2022,4230.83,1/28/2022,1337.19,1/28/2022,1.3401,2022-01-27,1.2271,2022-01-24,0.242,,
,1/26/2022,7469.78,1/26/2022,4192.7,1/27/2022,1343.15,1/27/2022,1.3383,2022-01-26,1.1963,2022-01-21,0.182,,
,1/25/2022,7371.46,1/25/2022,4139.47,1/26/2022,1351.54,1/26/2022,1.3463,2022-01-25,1.1629,2022-01-20,0.164,,
,1/24/2022,7297.15,1/24/2022,4099.16,1/25/2022,1368.6,1/25/2022,1.3501,2022-01-24,1.1247,2022-01-19,0.158,,
,1/21/2022,7494.13,1/21/2022,4217.31,1/24/2022,1366.4,1/24/2022,1.3488,2022-01-21,1.1693,2022-01-18,0.183,,
,1/20/2022,7585.01,1/20/2022,4274.52,1/21/2022,1354.07,1/21/2022,1.3553,2022-01-20,1.2239,2022-01-17,0.169,,
,1/19/2022,7589.66,1/19/2022,4273.79,1/20/2022,1352.44,1/20/2022,1.36,2022-01-19,1.2547,2022-01-13,0.152,,
,1/18/2022,7563.55,1/18/2022,4263.04,1/19/2022,1352.1,1/19/2022,1.3612,2022-01-18,1.2159,2022-01-12,0.136,,
,1/17/2022,7611.23,1/17/2022,4292.58,1/18/2022,1334.1,1/18/2022,1.3596,2022-01-17,1.1847,2022-01-11,0.130,,
,1/14/2022,7542.95,1/14/2022,4256.59,1/17/2022,1333.12,1/17/2022,1.3647,2022-01-14,1.1484,2022-01-10,0.135,,
,1/13/2022,7563.85,1/13/2022,4273.23,1/14/2022,1329.15,1/14/2022,1.3675,2022-01-13,1.1039,2021-12-22,-0.048,,
,1/12/2022,7551.72,1/12/2022,4270.79,1/13/2022,1329.73,1/13/2022,1.3706,2022-01-12,1.1374,2021-12-17,0.054,,
,1/11/2022,7491.37,1/11/2022,4241.88,1/12/2022,1332.86,1/12/2022,1.37,2022-01-11,1.1685,2021-12-16,0.028,,
,1/10/2022,7445.25,1/10/2022,4219.71,1/11/2022,1335.95,1/11/2022,1.3635,2022-01-10,1.1886,2021-12-15,-0.020,,
,1/7/2022,7485.28,1/7/2022,4249.43,1/10/2022,1327.1,1/10/2022,1.3577,2022-01-07,1.1767,2021-12-14,0.006,,
,1/6/2022,7450.37,1/6/2022,4235.63,1/7/2022,1322.32,1/7/2022,1.3588,2022-01-06,1.1547,2021-12-03,-0.143,,
,1/5/2022,7516.87,1/5/2022,4277.51,1/6/2022,1323.63,1/6/2022,1.3532,2022-01-05,1.0857,2021-12-02,-0.109,,
,1/4/2022,7505.15,1/4/2022,4276.18,1/5/2022,1335.57,1/5/2022,1.3557,2022-01-04,1.0830,2021-12-01,-0.095,,
,12/31/2021,7384.54,12/31/2021,4208.02,1/4/2022,1341.24,1/4/2022,1.353,2021-12-31,0.9677,2021-11-30,-0.095,,
,12/30/2021,7403.01,12/30/2021,4217.7,1/3/2022,1336.32,1/3/2022,1.348,2021-12-30,0.9750,2021-11-29,0.009,,
,12/29/2021,7420.69,12/29/2021,4224.78,12/31/2021,1352.13,12/31/2021,1.3532,2021-12-29,1.0113,2021-11-25,-0.043,,
,12/24/2021,7372.1,12/24/2021,4194.35,12/30/2021,1344.13,12/30/2021,1.3499,2021-12-24,0.9200,2021-11-24,-0.047,,
,12/23/2021,7373.34,12/23/2021,4194.71,12/29/2021,1337.81,12/29/2021,1.349,2021-12-23,0.9195,2021-11-22,0.010,,
,12/22/2021,7341.66,12/22/2021,4173.84,12/28/2021,1344.72,12/28/2021,1.3434,2021-12-22,0.8834,2021-11-19,0.036,,
,12/21/2021,7297.41,12/21/2021,4144.88,12/24/2021,1358.23,12/27/2021,1.3441,2021-12-21,0.8712,2021-11-18,-0.032,,
,12/20/2021,7198.03,12/20/2021,4089.84,12/23/2021,1348.72,12/24/2021,1.3386,2021-12-20,0.7698,2021-11-17,0.019,,
,12/17/2021,7269.92,12/17/2021,4130.94,12/22/2021,1350.81,12/23/2021,1.3408,2021-12-17,0.7563,2021-11-16,0.047,,
,12/16/2021,7260.61,12/16/2021,4122.09,12/21/2021,1348.69,12/22/2021,1.3352,2021-12-16,0.7553,2021-11-15,0.020,,
,12/15/2021,7170.75,12/15/2021,4074.13,12/20/2021,1356,12/21/2021,1.3262,2021-12-15,0.7334,2021-11-12,-0.058,,
,12/14/2021,7218.64,12/14/2021,4100.24,12/17/2021,1358.83,12/20/2021,1.3207,2021-12-14,0.7222,2021-11-11,-0.016,,
,12/13/2021,7231.44,12/13/2021,4109.33,12/16/2021,1350.61,12/17/2021,1.3245,2021-12-13,0.6951,2021-11-10,0.041,,
,12/10/2021,7291.78,12/10/2021,4146.9,12/15/2021,1339.69,12/16/2021,1.3323,2021-12-10,0.7392,2021-11-09,0.031,,
,12/9/2021,7321.26,12/9/2021,4167.39,12/14/2021,1338.38,12/15/2021,1.3262,2021-12-09,0.7535,2021-11-08,0.036,,
,12/8/2021,7337.05,12/8/2021,4177.65,12/13/2021,1351.94,12/14/2021,1.3231,2021-12-08,0.7737,2021-11-05,-0.012,,
,12/7/2021,7339.9,12/7/2021,4178.76,12/10/2021,1343.89,12/13/2021,1.3217,2021-12-07,0.7274,2021-11-04,-0.001,,
,12/6/2021,7232.28,12/6/2021,4117.6,12/9/2021,1342.76,12/10/2021,1.3273,2021-12-06,0.7315,2021-11-03,0.043,,
,12/3/2021,7122.32,12/3/2021,4059.32,12/8/2021,1350.33,12/9/2021,1.3221,2021-12-03,0.7460,2021-11-02,0.048,,
,12/2/2021,7129.21,12/2/2021,4063.89,12/7/2021,1347.16,12/8/2021,1.3204,2021-12-02,0.8097,2021-11-01,0.053,,
,12/1/2021,7168.68,12/1/2021,4089.19,12/6/2021,1341.06,12/7/2021,1.3244,2021-12-01,0.8188,2021-10-29,0.043,,
,11/30/2021,7059.45,11/30/2021,4025.87,12/3/2021,1347.34,12/6/2021,1.3264,2021-11-30,0.8072,2021-10-28,0.069,,
,11/29/2021,7109.95,11/29/2021,4057.63,12/2/2021,1329.53,12/3/2021,1.3236,2021-11-29,0.8588,2021-10-27,0.043,,
,11/26/2021,7044.03,11/26/2021,4020.38,12/1/2021,1341.98,12/2/2021,1.3305,2021-11-26,0.8218,2021-10-26,0.040,,
,11/25/2021,7310.37,11/25/2021,4167.28,11/30/2021,1334.03,12/1/2021,1.3279,2021-11-25,0.9662,2021-10-25,0.041,,
,11/24/2021,7286.32,11/24/2021,4152.43,11/29/2021,1340.33,11/30/2021,1.3299,2021-11-24,0.9947,2021-10-22,0.028,,
,11/23/2021,7266.69,11/23/2021,4144.9,11/26/2021,1351.63,11/29/2021,1.3315,2021-11-23,0.9953,2021-10-21,0.066,,
,11/22/2021,7255.46,11/22/2021,4147.35,11/25/2021,1342.76,11/26/2021,1.3337,2021-11-22,0.9319,2021-10-20,0.053,,
,11/19/2021,7223.57,11/19/2021,4135.12,11/24/2021,1341.96,11/25/2021,1.3322,2021-11-19,0.8773,2021-10-19,0.071,,
,11/18/2021,7255.96,11/18/2021,4152.8,11/23/2021,1337.41,11/24/2021,1.3328,2021-11-18,0.9228,2021-10-18,0.068,,
,11/17/2021,7291.2,11/17/2021,4164.77,11/22/2021,1347.01,11/23/2021,1.3378,2021-11-17,0.9607,2021-10-15,0.008,,
,11/16/2021,7326.97,11/16/2021,4184.79,11/19/2021,1372.71,11/22/2021,1.3397,2021-11-16,0.9877,2021-10-14,0.006,,
,11/15/2021,7351.86,11/15/2021,4199.12,11/18/2021,1377.34,11/19/2021,1.3451,2021-11-15,0.9620,2021-10-13,0.036,,
,11/12/2021,7347.91,11/12/2021,4194.89,11/17/2021,1384.11,11/18/2021,1.3494,2021-11-12,0.9112,2021-10-12,0.016,,
,11/11/2021,7384.18,11/11/2021,4212.39,11/16/2021,1378.04,11/17/2021,1.3487,2021-11-11,0.9187,2021-10-11,0.013,,
,11/10/2021,7340.15,11/10/2021,4187.58,11/15/2021,1388.77,11/16/2021,1.343,2021-11-10,0.9221,2021-10-08,0.016,,
,11/9/2021,7274.04,11/9/2021,4155.4,11/12/2021,1390.25,11/15/2021,1.3416,2021-11-09,0.8228,2021-10-07,0.015,,
,11/8/2021,7300.4,11/8/2021,4172.82,11/11/2021,1393.17,11/12/2021,1.3414,2021-11-08,0.8539,2021-10-06,0.006,,
,11/5/2021,7303.96,11/5/2021,4175.97,11/10/2021,1379.88,11/11/2021,1.3372,2021-11-05,0.8435,2021-10-05,0.017,,
,11/4/2021,7279.91,11/4/2021,4160.9,11/9/2021,1351.19,11/10/2021,1.3405,2021-11-04,0.9370,2021-10-04,0.008,,
,11/3/2021,7248.89,11/3/2021,4135.3,11/8/2021,1344.98,11/9/2021,1.3557,2021-11-03,1.0707,2021-10-01,0.012,,
,11/2/2021,7274.81,11/2/2021,4148.09,11/5/2021,1347.12,11/8/2021,1.3563,2021-11-02,1.0354,2021-09-30,0.017,,
,11/1/2021,7288.62,11/1/2021,4156.48,11/4/2021,1327.33,11/5/2021,1.3498,2021-11-01,1.0590,2021-09-29,0.021,,
,10/29/2021,7237.57,10/29/2021,4129.16,11/3/2021,1293.24,11/4/2021,1.35,2021-10-29,1.0318,2021-09-28,0.037,,
,10/28/2021,7249.47,10/28/2021,4137.54,11/2/2021,1313.16,11/3/2021,1.3687,2021-10-28,1.0054,2021-09-27,0.038,,
,10/27/2021,7253.27,10/27/2021,4138.68,11/1/2021,1312.26,11/2/2021,1.3612,2021-10-27,0.9828,2021-09-24,0.030,,
,10/26/2021,7277.62,10/26/2021,4149.81,10/29/2021,1302.19,11/1/2021,1.3665,2021-10-26,1.1070,2021-09-23,0.032,,
,10/25/2021,7222.82,10/25/2021,4117.93,10/28/2021,1304.06,10/29/2021,1.3682,2021-10-25,1.1387,2021-09-22,0.035,,
,10/22/2021,7204.55,10/22/2021,4108.91,10/27/2021,1307.93,10/28/2021,1.379,2021-10-22,1.1434,2021-09-21,0.032,,
,10/21/2021,7190.3,10/21/2021,4102.33,10/26/2021,1302.4,10/27/2021,1.3745,2021-10-21,1.2000,2021-09-20,0.030,,
,10/20/2021,7223.1,10/20/2021,4118.78,10/25/2021,1313.35,10/26/2021,1.3767,2021-10-20,1.1456,2021-09-17,0.015,,
,10/19/2021,7217.53,10/19/2021,4119.18,10/22/2021,1303.35,10/25/2021,1.3767,2021-10-19,1.1666,2021-09-16,0.034,,
,10/18/2021,7203.83,10/18/2021,4110.17,10/21/2021,1292.68,10/22/2021,1.3755,2021-10-18,1.1347,2021-09-15,0.024,,
,10/15/2021,7234.03,10/15/2021,4123.97,10/20/2021,1289.06,10/21/2021,1.3793,2021-10-15,1.1032,2021-09-14,0.024,,
,10/14/2021,7207.71,10/14/2021,4107.88,10/19/2021,1283.1,10/20/2021,1.3824,2021-10-14,1.0409,2021-09-13,0.023,,
,10/13/2021,7141.82,10/13/2021,4070.2,10/18/2021,1285.68,10/19/2021,1.3797,2021-10-13,1.0864,2021-09-10,0.020,,
,10/12/2021,7130.23,10/12/2021,4059.54,10/15/2021,1285.31,10/18/2021,1.3726,2021-10-12,1.1468,2021-09-08,0.017,,
,10/11/2021,7146.85,10/11/2021,4068.12,10/14/2021,1313.37,10/15/2021,1.3751,2021-10-11,1.1877,2021-09-07,0.018,,
,10/8/2021,7095.55,10/8/2021,4046.71,10/13/2021,1312.68,10/14/2021,1.3673,2021-10-08,1.1569,2021-09-06,0.018,,
,10/7/2021,7078.04,10/7/2021,4038.83,10/12/2021,1295.41,10/13/2021,1.3659,2021-10-07,1.0766,2021-09-03,0.001,,
,10/6/2021,6995.87,10/6/2021,3995.37,10/11/2021,1290.39,10/12/2021,1.3588,2021-10-06,1.0698,2021-09-02,0.003,,
,10/5/2021,7077.1,10/5/2021,4044.05,10/8/2021,1290.57,10/11/2021,1.3595,2021-10-05,1.0826,2021-09-01,0.004,,
,10/4/2021,7011.01,10/4/2021,4011.09,10/7/2021,1289.35,10/8/2021,1.3615,2021-10-04,1.0099,2021-08-31,0.004,,
,10/1/2021,7027.07,10/1/2021,4028.97,10/6/2021,1297.75,10/7/2021,1.3619,2021-10-01,1.0015,2021-08-27,0.022,,
,9/30/2021,7086.42,9/30/2021,4058.96,10/5/2021,1291.55,10/6/2021,1.3582,2021-09-30,1.0208,2021-08-25,0.030,,
,9/29/2021,7108.16,9/29/2021,4072.84,10/4/2021,1300.4,10/5/2021,1.3629,2021-09-29,0.9904,2021-08-24,0.024,,
,9/28/2021,7028.1,9/28/2021,4035.41,10/1/2021,1300.16,10/4/2021,1.361,2021-09-28,0.9932,2021-08-23,0.041,,
,9/27/2021,7063.4,9/27/2021,4067.82,9/30/2021,1303.93,10/1/2021,1.3546,2021-09-27,0.9510,2021-08-20,0.020,,
,9/24/2021,7051.48,9/24/2021,4062.2,9/29/2021,1285.88,9/30/2021,1.3474,2021-09-24,0.9237,2021-08-19,0.016,,
,9/23/2021,7078.35,9/23/2021,4081.25,9/28/2021,1280.95,9/29/2021,1.3427,2021-09-23,0.9062,2021-08-18,0.016,,
,9/22/2021,7083.37,9/22/2021,4081.81,9/27/2021,1277.72,9/28/2021,1.3537,2021-09-22,0.7979,2021-08-17,0.017,,
,9/21/2021,6980.98,9/21/2021,4029.01,9/24/2021,1279.85,9/27/2021,1.3698,2021-09-21,0.8061,2021-08-16,0.000,,
,9/20/2021,6903.91,9/20/2021,3986.9,9/23/2021,1269.94,9/24/2021,1.3679,2021-09-20,0.7929,2021-08-13,0.024,,
,9/17/2021,6963.64,9/17/2021,4023.33,9/22/2021,1298.59,9/23/2021,1.372,2021-09-17,0.8453,2021-08-12,0.027,,
,9/16/2021,7027.48,9/16/2021,4051.44,9/21/2021,1299.04,9/22/2021,1.3622,2021-09-16,0.8160,2021-08-11,0.025,,
,9/15/2021,7016.49,9/15/2021,4039.44,9/20/2021,1291.79,9/21/2021,1.3659,2021-09-15,0.7765,2021-08-10,0.033,,
,9/14/2021,7034.06,9/14/2021,4056.45,9/17/2021,1277.41,9/20/2021,1.3657,2021-09-14,0.7368,2021-08-09,0.040,,
,9/13/2021,7068.43,9/13/2021,4075.27,9/16/2021,1271.33,9/17/2021,1.3741,2021-09-13,0.7439,2021-08-06,0.018,,
,9/10/2021,7029.2,9/10/2021,4056.19,9/15/2021,1296.07,9/16/2021,1.3795,2021-09-10,0.7576,2021-08-05,0.027,,
,9/9/2021,7024.21,9/9/2021,4055.82,9/14/2021,1306.79,9/15/2021,1.384,2021-09-09,0.7356,2021-08-03,0.011,,
,9/8/2021,7095.53,9/8/2021,4089.76,9/13/2021,1296.07,9/14/2021,1.381,2021-09-08,0.7427,2021-08-02,0.029,,
,9/7/2021,7149.37,9/7/2021,4122.43,9/10/2021,1292.73,9/13/2021,1.3838,2021-09-07,0.7362,2021-07-30,0.024,,
,9/6/2021,7187.18,9/6/2021,4144.51,9/9/2021,1297.16,9/10/2021,1.3839,2021-09-06,0.6930,2021-07-29,0.021,,
,9/3/2021,7138.35,9/3/2021,4120.51,9/8/2021,1299.32,9/9/2021,1.3837,2021-09-03,0.7155,2021-07-28,0.021,,
,9/2/2021,7163.9,9/2/2021,4133.54,9/7/2021,1301.52,9/8/2021,1.3771,2021-09-02,0.6796,2021-07-27,0.028,,
,9/1/2021,7149.84,9/1/2021,4128.63,9/6/2021,1317.74,9/7/2021,1.3786,2021-09-01,0.6920,2021-07-26,0.033,,
,8/31/2021,7119.7,8/31/2021,4109.96,9/3/2021,1318.93,9/6/2021,1.3837,2021-08-31,0.7126,2021-07-23,0.034,,
,8/27/2021,7148.01,8/27/2021,4121.03,9/2/2021,1308.07,9/3/2021,1.3871,2021-08-27,0.5767,2021-07-22,0.036,,
,8/26/2021,7124.98,8/26/2021,4106.66,9/1/2021,1317.45,9/2/2021,1.3833,2021-08-26,0.5998,2021-07-21,0.042,,
,8/25/2021,7150.12,8/25/2021,4119.44,8/31/2021,1318.56,9/1/2021,1.377,2021-08-25,0.5964,2021-07-20,0.042,,
,8/24/2021,7125.78,8/24/2021,4104.84,8/30/2021,1315.72,8/31/2021,1.3755,2021-08-24,0.5368,2021-07-19,0.033,,
,8/23/2021,7109.02,8/23/2021,4092.12,8/27/2021,1321.21,8/30/2021,1.376,2021-08-23,0.5339,2021-07-16,0.029,,
,8/20/2021,7087.9,8/20/2021,4082.53,8/26/2021,1308.04,8/27/2021,1.3764,2021-08-20,0.5219,2021-07-15,0.029,,
,8/19/2021,7058.86,8/19/2021,4064.14,8/25/2021,1301.02,8/26/2021,1.37,2021-08-19,0.5377,2021-07-14,0.026,,
,8/18/2021,7169.32,8/18/2021,4122.61,8/24/2021,1313.24,8/25/2021,1.3763,2021-08-18,0.5647,2021-07-13,0.032,,
,8/17/2021,7181.11,8/17/2021,4123.45,8/23/2021,1315.73,8/24/2021,1.3729,2021-08-17,0.5615,2021-07-12,0.022,,
,8/16/2021,7153.98,8/16/2021,4111.89,8/20/2021,1307.32,8/23/2021,1.3719,2021-08-16,0.5728,2021-07-09,0.026,,
,8/13/2021,7218.71,8/13/2021,4144.47,8/19/2021,1305.37,8/20/2021,1.3623,2021-08-13,0.5724,2021-07-08,0.024,,
,8/12/2021,7193.23,8/12/2021,4131.76,8/18/2021,1299.77,8/19/2021,1.3639,2021-08-12,0.6001,2021-07-07,0.038,,
,8/11/2021,7220.14,8/11/2021,4143.16,8/17/2021,1299.72,8/18/2021,1.3756,2021-08-11,0.5705,2021-07-06,0.028,,
,8/10/2021,7161.04,8/10/2021,4110.2,8/16/2021,1291.31,8/17/2021,1.3741,2021-08-10,0.5882,2021-07-05,0.034,,
,8/9/2021,7132.3,8/9/2021,4093.19,8/13/2021,1282.95,8/16/2021,1.3849,2021-08-09,0.5831,2021-07-01,0.013,,
,8/6/2021,7122.95,8/6/2021,4088.94,8/12/2021,1269.64,8/13/2021,1.3866,2021-08-06,0.6097,2021-06-30,0.024,,
,8/5/2021,7120.43,8/5/2021,4089.91,8/11/2021,1263.26,8/12/2021,1.3808,2021-08-05,0.5231,2021-06-29,0.001,,
,8/4/2021,7123.86,8/4/2021,4085.47,8/10/2021,1249.44,8/11/2021,1.3868,2021-08-04,0.5110,2021-06-28,0.034,,
,8/3/2021,7105.72,8/3/2021,4074.79,8/9/2021,1249.23,8/10/2021,1.3843,2021-08-03,0.5190,2021-06-25,0.035,,
,8/2/2021,7081.72,8/2/2021,4061.12,8/6/2021,1271.2,8/9/2021,1.3847,2021-08-02,0.5201,2021-06-24,0.023,,
,7/30/2021,7032.3,7/30/2021,4030.24,8/5/2021,1295.45,8/6/2021,1.3872,2021-07-30,0.5642,2021-06-23,0.006,,
,7/29/2021,7078.42,7/29/2021,4054.12,8/4/2021,1304.57,8/5/2021,1.3931,2021-07-29,0.5719,2021-06-22,0.009,,
,7/28/2021,7016.63,7/28/2021,4024.08,8/3/2021,1301.06,8/4/2021,1.3889,2021-07-28,0.5740,2021-06-21,0.025,,
,7/27/2021,6996.08,7/27/2021,4010.29,8/2/2021,1305.75,8/3/2021,1.3916,2021-07-27,0.5571,2021-06-18,0.039,,
,7/26/2021,7025.43,7/26/2021,4025.99,7/30/2021,1304.7,8/2/2021,1.3883,2021-07-26,0.5707,2021-06-17,0.043,,
,7/23/2021,7027.58,7/23/2021,4025.12,7/29/2021,1309.36,7/30/2021,1.3904,2021-07-23,0.5832,2021-06-16,0.041,,
,7/22/2021,6968.3,7/22/2021,3991.48,7/28/2021,1299.79,7/29/2021,1.3959,2021-07-22,0.5648,2021-06-15,0.040,,
,7/21/2021,6998.28,7/21/2021,4000.08,7/27/2021,1296.25,7/28/2021,1.3902,2021-07-21,0.6024,2021-06-14,0.040,,
,7/20/2021,6881.13,7/20/2021,3932.84,7/26/2021,1300.81,7/27/2021,1.3879,2021-07-20,0.5631,2021-06-11,0.025,,
,7/19/2021,6844.39,7/19/2021,3909.88,7/23/2021,1310.55,7/26/2021,1.3818,2021-07-19,0.5592,2021-06-10,0.027,,
,7/16/2021,7008.09,7/16/2021,4002.8,7/22/2021,1312.19,7/23/2021,1.3748,2021-07-16,0.6256,2021-06-09,0.026,,
,7/15/2021,7012.02,7/15/2021,4005.8,7/21/2021,1315.03,7/22/2021,1.3768,2021-07-15,0.6626,2021-06-08,0.026,,
,7/14/2021,7091.19,7/14/2021,4049.86,7/20/2021,1328.42,7/21/2021,1.3713,2021-07-14,0.6265,2021-06-07,0.026,,
,7/13/2021,7124.72,7/13/2021,4071.21,7/19/2021,1325.35,7/20/2021,1.3628,2021-07-13,0.6313,2021-06-04,0.040,,
,7/12/2021,7125.42,7/12/2021,4070.34,7/16/2021,1316.38,7/19/2021,1.3675,2021-07-12,0.6503,2021-06-03,0.044,,
,7/9/2021,7121.88,7/9/2021,4069.79,7/15/2021,1322.98,7/16/2021,1.3767,2021-07-09,0.6548,2021-06-02,0.044,,
,7/8/2021,7030.66,7/8/2021,4019.72,7/14/2021,1318.55,7/15/2021,1.3829,2021-07-08,0.6114,2021-06-01,0.043,,
,7/7/2021,7151.02,7/7/2021,4085.5,7/13/2021,1308.59,7/14/2021,1.386,2021-07-07,0.5991,2021-05-28,0.028,,
,7/6/2021,7100.88,7/6/2021,4060.82,7/12/2021,1300.81,7/13/2021,1.3814,2021-07-06,0.6329,2021-05-27,0.029,,
,7/5/2021,7164.91,7/5/2021,4093.99,7/9/2021,1300.55,7/12/2021,1.3883,2021-07-05,0.7132,2021-05-26,0.029,,
,7/2/2021,7123.27,7/2/2021,4065.95,7/8/2021,1307.29,7/9/2021,1.3901,2021-07-02,0.7022,2021-05-25,0.029,,
,7/1/2021,7125.16,7/1/2021,4062.45,7/7/2021,1306.96,7/8/2021,1.3786,2021-07-01,0.7288,2021-05-24,0.029,,
,6/30/2021,7037.47,6/30/2021,4014.74,7/6/2021,1302.13,7/7/2021,1.3801,2021-06-30,0.7150,2021-05-21,0.041,,
,6/29/2021,7087.55,6/29/2021,4042.58,7/5/2021,1294.26,7/6/2021,1.38,2021-06-29,0.7373,2021-05-20,0.046,,
,6/28/2021,7072.97,6/28/2021,4035.43,7/2/2021,1292.43,7/5/2021,1.3844,2021-06-28,0.7212,2021-05-19,0.044,,
,6/25/2021,7136.07,6/25/2021,4067.79,7/1/2021,1290.99,7/2/2021,1.3824,2021-06-25,0.7776,2021-05-18,0.045,,
,6/24/2021,7109.97,6/24/2021,4051.12,6/30/2021,1279.65,7/1/2021,1.3767,2021-06-24,0.7399,2021-05-17,0.045,,
,6/23/2021,7074.06,6/23/2021,4039.4,6/29/2021,1272.76,6/30/2021,1.3831,2021-06-23,0.7792,2021-05-14,0.043,,
,6/22/2021,7090.01,6/22/2021,4046.87,6/28/2021,1281.03,6/29/2021,1.3836,2021-06-22,0.7789,2021-05-13,0.045,,
,6/21/2021,7062.29,6/21/2021,4026.96,6/25/2021,1283.36,6/28/2021,1.3883,2021-06-21,0.7680,2021-05-12,0.044,,
,6/18/2021,7017.47,6/18/2021,4002.07,6/24/2021,1274.81,6/25/2021,1.3879,2021-06-18,0.7514,2021-05-11,0.052,,
,6/17/2021,7153.43,6/17/2021,4071.33,6/23/2021,1274.11,6/24/2021,1.3922,2021-06-17,0.7751,2021-05-10,0.044,,
,6/16/2021,7184.95,6/16/2021,4088.47,6/22/2021,1275.11,6/23/2021,1.3964,2021-06-16,0.7386,2021-05-07,0.041,,
,6/15/2021,7172.48,6/15/2021,4083.2,6/21/2021,1279.62,6/22/2021,1.3949,2021-06-15,0.7576,2021-05-06,0.043,,
,6/14/2021,7146.68,6/14/2021,4074.57,6/18/2021,1278.78,6/21/2021,1.3934,2021-06-14,0.7397,2021-05-05,0.044,,
,6/11/2021,7134.06,6/11/2021,4068.33,6/17/2021,1273.41,6/18/2021,1.381,2021-06-11,0.7069,2021-05-04,0.042,,
,6/10/2021,7088.18,6/10/2021,4044.01,6/16/2021,1295.76,6/17/2021,1.3922,2021-06-10,0.7460,2021-04-30,0.038,,
,6/9/2021,7081.01,6/9/2021,4045.51,6/15/2021,1319.77,6/16/2021,1.3988,2021-06-09,0.7297,2021-04-29,0.040,,
,6/8/2021,7095.09,6/8/2021,4056.56,6/14/2021,1322.64,6/15/2021,1.4083,2021-06-08,0.7692,2021-04-28,0.040,,
,6/7/2021,7077.22,6/7/2021,4048.96,6/11/2021,1330.66,6/14/2021,1.4112,2021-06-07,0.8053,2021-04-27,0.042,,
